FID,nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,id_gestor,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc,prec_geom,dependenci,dependen_1,dependen_2,dependen_3,dependen_4,dependen_5,dependen_6,dependen_7,dependen_8,dependen_9,geom
Dependencias.2220,CAMPOHERMOSO,05789,087900030,P,EX,AE,241937,,24849,AD,301557.1447,4747675.3529,16,24,0,AE,P,EX,24,241937,24849,AD,087900030,CAMPOHERMOSO,0,POINT (301557.14470000006 4747675.3529)
Dependencias.2221,CANDAS,05211,087500040,E,EX,AE,330143,,33439,AD,276157.2249,4829476.4391,16,33,0,AE,E,EX,33,330143,33439,AD,087500040,CANDAS,0,POINT (276157.2248999998 4829476.439099999)
Dependencias.2222,CANDAS APD,05210,087500045,P,EX,AE,330143,,33430,AD,276535.9374,4829663.6377,16,33,0,AE,P,EX,33,330143,33430,AD,087500045,CANDAS APD,0,POINT (276535.93740000017 4829663.637700001)
Dependencias.2223,CANERO,05271,087400100,P,EX,AE,330349,,33700,AD,221592.9226,4826751.6608,16,33,0,AE,P,EX,33,330349,33700,AD,087400100,CANERO,0,POINT (221592.92260000017 4826751.660800001)
Dependencias.2224,CANGAS DE FOZ,05173,087400070,P,EX,AE,270193,,27780,AD,150386.2626,4839473.8785,16,27,0,AE,P,EX,27,270193,27780,AD,087400070,CANGAS DE FOZ,0,POINT (150386.26260000002 4839473.8785)
Dependencias.2225,CARANCOS,05529,087700050,E,EX,AE,330404,,33520,AD,302723.3969,4803168.3524,16,33,0,AE,E,EX,33,330404,33520,AD,087700050,CARANCOS,0,POINT (302723.39690000005 4803168.352399999)
Dependencias.2226,CARBAYIN,05417,087520040,E,EX,AE,330668,,33510,AD,286516.0752,4803150.0635,16,33,0,AE,E,EX,33,330668,33510,AD,087520040,CARBAYIN,0,POINT (286516.07519999985 4803150.0635)
Dependencias.2227,CARROCERA,05435,087520075,P,EX,AE,330609,,33950,AD,286921.1929,4796115.8654,16,33,0,AE,P,EX,33,330609,33950,AD,087520075,CARROCERA,0,POINT (286921.19290000014 4796115.8654)
Dependencias.2228,CARTAGENA PZ BAS,05951,083600010,E,EX,AE,300161,,30202,AD,678598.7954,4163764.06,16,30,0,AE,E,EX,30,300161,30202,AD,083600010,CARTAGENA PZ BAS,0,POINT (678598.7954000002 4163764.0600000005)
Dependencias.2229,CARTAVIO,05289,087400090,P,EX,AE,330181,,33795,AD,193872.1342,4828958.5518,16,33,0,AE,P,EX,33,330181,33795,AD,087400090,CARTAVIO,0,POINT (193872.1342000002 4828958.5518)
